TC-001.01,https://getfedora.org/,Fedora
TC-001.02,https://getfedora.org/,Fedor
TC-001.03,https://2ip.ru/,Узнать IP адрес
TC-001.04,https://2ip.ru/,Узнать IP
TC-001.05,http://plati.ru/index.asp,Plati
TC-001.06,http://plati.ru/index.asp,Plati!!!
TC-001.07,https://telepay.wmtransfer.com,Telepay
TC-001.08,https://telepay.wmtransfer.com,Telepayii
TC-001.09,http://filmsonline.com.ua/,Фильмы онлайн бесплатно в хорошем качестве без регистрации и смс - FilmsOnline.com.ua
TC-001.10,http://filmsonline.com.ua/,Фильмы онлайн
TC-001.11,http://ymka.tv/,Фильмы онлайн | Умка ТВ
TC-001.12,http://ymka.tv/,Фильмы онлайн
TC-001.13,http://www.learn2test.net,learn2test.net
TC-001.14,http://www.learn2test.net,learn2test
TC-001.15,http://lenta.ru/,Lenta.ru
TC-001.16,http://lenta.ru/,Lenta
TC-001.17,https://www.nkj.ru/,Наука
TC-001.18,http://ria.ru/,РИА Новости
TC-001.19,http://ria.ru/,РИА
TC-001.20,http://naked-science.ru/,Naked Science
TC-001.21,http://naked-science.ru/,Science
TC-001.22,http://www.bbc.com/,BBC - Homepage
TC-001.23,http://www.bbc.com/,BBC
TC-001.24,http://allatra-science.org/,НАУКА АЛЛАТРА
TC-001.25,http://allatra-science.org/,НАУКА
